"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",1977600,"sentence","","Le","magicien","fait","disparaître","les","bonbons","étalés","sur","le","sol","du","théâtre","","","","La","chanteuse","jette","le","dé","qui","roule","sur","la","table","de","jeu","","","","La","petite","regarde","comment","son","père","grille","les","épis","de","maïs","mur"
"2",1998200,"pseudo","","da","mavoies","aka","farites","prender","zam","asieur","qud","cetquasa","rèle","ow","phetch","","","","co","monvate","i","flipble","ps","ryan","he","er","aftasant","er","tâs","isièler","","","","da","gomçon","og","temiste","ar","briol","nil","hôgé","traîse","i","pobime","franne"
"3",2018800,"sentence","","Le","jardinier","redoute","les","brusques","changements","de","la","température","de","la","serre","","","","Le","garçon","répond","que","sa","soeur","cherche","un","tube","de","colle","blanche","","","","Le","chorégraphe","réunit","les","danseurs","qui","veulent","faire","partie","du","prochain","ballet"
"4",2039400,"pseudo","","ige","sournété","phriète","ox","rédapse","iol","prenverque","cli","guiplennua","ia","acor","queldé","","","","oq","i","atés","vox","sre","peille","borgue","he","coupese","os","piel","flygne","","","","re","phouable","i","pavorilait","olà","déséser","qo","brafer","er","zai","ainplipité","mêdetiquet"
"5",2060000,"sentence","","Le","soleil","va","accélérer","la","fonte","de","cette","mince","couche","de","glace","","","","Le","joueur","sort","la","carte","dissimulée","dans","la","doublure","de","sa","manche","","","","Le","voyageur","fait","coulisser","la","porte","de","son","compartiment","de","deuxième","classe"
"6",2080600,"pseudo","","qo","frècouble","i","noeu","he","bonviment","fipété","i","hes","renméte","jo","schyourte","","","","co","chrêne","uc","mivertait","ub","clêle","alq","tremtecute","uc","sès","stroids","rondâra","","","","jo","pasgara","zai","dro","ko","skaud","milbilsé","dépenrode","i","blouïe","ore","chetit"
"7",2101200,"sentence","","Une","taupe","creuse","des","trous","qui","défigurent","le","jardin","de","la","voisine","","","","Il","ouvre","la","portière","de","sa","voiture","à","la","carrosserie","très","abîmée","","","","Les","étoiles","brillent","en","émettant","une","lumière","inconstante","au","cours","du","temps"
"8",2121800,"pseudo","","ze","magé","algasé","ia","préasetait","ile","igé","kêne","rhes","manpelcits","nog","zown","","","","lo","vagenles","aq","heuvotion","iz","balténetin","lo","zé","shuise","efsés","na","ocna","","","","pulé","i","disrait","sva","res","dong","repota","sme","heucierdre","i","sorai","drar"
"9",2142400,"sentence","","Je","crois","que","tu","devrais","accepter","la","proposition","de","ton","nouvel","associé","","","","Paul","tente","de","raisonner","sa","soeur","qui","se","vexe","sans","bonne","raison","","","","Le","notaire","consulte","les","lourds","volumes","empilés","sur","les","étagères","de","métal"
"10",2163000,"pseudo","","og","tentiprès","lèser","co","nument","ui","ull","cefin","pna","piter","zuoi","hagné","","","","uo","restolot","skub","sigorques","uo","luder","ze","dor","hiscucoumais","aq","innonses","resete","","","","omb","ali","encomveux","zû","resjours","gix","i","gnuet","pix","toursonre","zû","sphême"
"11",2183600,"sentence","","Le","garçon","lance","un","caillou","qui","ricoche","sur","la","surface","du","bassin","","","","Le","locataire","raconte","que","la","gardienne","adore","éplucher","les","pommes","de","terre","","","","Le","chanvre","est","une","fibre","qui","donne","de","la","toile","trop","rêche"
"12",2204200,"pseudo","","za","bart","zà","aflé","za","beôle","sbû","skuis","ux","grompetsir","mês","heusila","","","","na","transle","qe","calanes","jui","enmavons","na","ar","limcialu","schot","oq","stra","","","","stine","faneque","sles","alcerle","gec","dovanir","cetcelcre","vesgue","ux","vuc","qo","flog"
"13",2224800,"sentence","","Elle","a","accepté","que","son","fils","achète","une","télévision","à","écran","plat","","","","Je","vais","élaborer","un","plan","qui","permettra","de","redresser","nos","récentes","pertes","","","","Le","peintre","nettoie","le","manche","de","ses","brosses","en","poils","de","sanglier"
"14",2245400,"pseudo","","aq","rasmandre","papaient","i","depecmum","gû","drac","shorgue","sipt","zo","adsé","apcer","","","","iz","montiènie","phosté","re","bliol","vam","blimbe","ipé","iltodièle","cli","ko","bilres","","","","uo","herdre","omre","ud","débon","insercovec","afet","ub","conpaner","ze","os","pimeze"
"15",2266000,"sentence","","Il","a","peur","que","les","talons","rayent","le","parquet","de","bois","tendre","","","","Il","compte","les","mots","qui","couvrent","la","page","imprimée","en","petits","caractères","","","","Il","parvient","à","déchiffrer","les","indices","du","visage","de","son","redoutable","adversaire"
"16",2286600,"pseudo","","pace","gisse","gi","ass","zau","aguë","ol","ui","skal","zé","vrût","smais","","","","da","mysble","he","usi","za","avopique","fituavoir","minc","us","grif","og","djui","","","","zy","cutonséce","didis","gi","na","ité","sqyan","zac","na","pnube","na","vça"
